LifeStage,PopGrpID,PopGrp,ID_Num,COMID,Reach,MWMT_Indx2047,MWMT_Indx2048,MWMT_Indx2049,MWMT_Indx2050,MWMT_Indx2051,MWMT_Indx2052,MWMT_Indx2053,MWMT_Indx2054,MWMT_Indx2055,MWMT_Indx2056,MWMT_Indx2057,MWMT_Indx2058,MWMT_Indx2059,MWMT_Indx2060,MWMT_Indx2061,MWMT_Indx2062,MWMT_Indx2063,MWMT_Indx2064,MWMT_Indx2065,MWMT_Indx2066,MWMT_Indx2067,MWMT_Indx2068,MWMT_Indx2069,MWMT_Indx2070,MWMT_Indx2071,MWMT_Indx2072,MWMT_Indx2073,MWMT_Indx2074,MWMT_Indx2075,MWMT_Indx2076,MWMT_Indx2077,MWMT_Indx2078,MWMT_Indx2079,MWMT_Indx2080
Spwn,17,Coquille,50991,23915969,Beaver Cr,20.04423523,21.27772713,20.32743454,22.51751137,21.73713875,22.12103271,20.8183136,21.54833984,22.0518055,23.35452461,21.56722069,23.05244446,20.16380882,20.74908829,20.88754082,22.12103271,21.85042,22.49863243,22.30353928,21.97628593,22.60561752,21.64903259,21.78119278,20.46588898,20.98194122,21.08892822,22.56785774,23.19089699,24.21545029,21.89069748,21.71700096,22.26200294,22.34117317,21.27583885
Spwn,17,Coquille,4665,23914557,Rowland Cr,20.68542099,21.99407768,20.80039787,23.18525124,22.31773758,22.74800491,21.49580765,22.34417725,22.85790443,24.00352478,22.23751068,23.71642876,20.84589005,21.32847786,21.52892685,22.85511017,22.59342766,23.17679024,22.96662712,22.72482681,23.28617668,22.65091515,22.65850067,21.44582748,21.91457558,21.79017067,23.35551071,24.14764595,25.19909668,22.90674019,22.45851135,22.98680878,22.67554474,21.9339962
Spwn,17,Coquille,4659,23914557,Rowland Cr,20.68542099,21.99407768,20.80039787,23.18525124,22.31773758,22.74800491,21.49580765,22.34417725,22.85790443,24.00352478,22.23751068,23.71642876,20.84589005,21.32847786,21.52892685,22.85511017,22.59342766,23.17679024,22.96662712,22.72482681,23.28617668,22.65091515,22.65850067,21.44582748,21.91457558,21.79017067,23.35551071,24.14764595,25.19909668,22.90674019,22.45851135,22.98680878,22.67554474,21.9339962
Spwn,17,Coquille,4668,23914557,Rowland Cr,20.68542099,21.99407768,20.80039787,23.18525124,22.31773758,22.74800491,21.49580765,22.34417725,22.85790443,24.00352478,22.23751068,23.71642876,20.84589005,21.32847786,21.52892685,22.85511017,22.59342766,23.17679024,22.96662712,22.72482681,23.28617668,22.65091515,22.65850067,21.44582748,21.91457558,21.79017067,23.35551071,24.14764595,25.19909668,22.90674019,22.45851135,22.98680878,22.67554474,21.9339962
Spwn,17,Coquille,4669,23914557,Rowland Cr,20.68542099,21.99407768,20.80039787,23.18525124,22.31773758,22.74800491,21.49580765,22.34417725,22.85790443,24.00352478,22.23751068,23.71642876,20.84589005,21.32847786,21.52892685,22.85511017,22.59342766,23.17679024,22.96662712,22.72482681,23.28617668,22.65091515,22.65850067,21.44582748,21.91457558,21.79017067,23.35551071,24.14764595,25.19909668,22.90674019,22.45851135,22.98680878,22.67554474,21.9339962
Spwn,17,Coquille,4672,23914563,Baker Cr,20.31031036,21.57138252,19.94227409,22.76088905,21.99901581,22.18375015,20.9682827,22.04916573,22.04477501,23.60806656,21.62127495,23.12425995,20.37227058,20.69411087,20.92759895,22.42495537,22.20134735,22.57139015,22.5092926,22.02834129,22.7418766,21.76721764,22.43448257,21.43559647,20.76569366,20.78112411,22.81576157,23.02163506,24.0437355,21.71214676,21.52266693,22.52327156,21.35788345,21.13002968
Spwn,17,Coquille,51055,23914693,Woodward Cr,21.82647896,23.13258743,21.53856087,24.62624931,23.75486946,23.96796989,22.57390594,23.66862297,23.74996376,25.53763962,23.22455025,25.02229309,21.9630146,22.38541603,22.55953026,23.91725349,23.71319771,24.34869957,24.20120239,23.46375465,24.5195713,23.02070427,24.26236916,22.85674667,21.89156342,22.18805313,24.43336678,24.43472862,25.42554855,22.87708664,23.3328228,24.27692986,23.45186615,23.03059387
Spwn,17,Coquille,4676,23914693,Woodward Cr,21.82647896,23.13258743,21.53856087,24.62624931,23.75486946,23.96796989,22.57390594,23.66862297,23.74996376,25.53763962,23.22455025,25.02229309,21.9630146,22.38541603,22.55953026,23.91725349,23.71319771,24.34869957,24.20120239,23.46375465,24.5195713,23.02070427,24.26236916,22.85674667,21.89156342,22.18805313,24.43336678,24.43472862,25.42554855,22.87708664,23.3328228,24.27692986,23.45186615,23.03059387
Spwn,17,Coquille,4681,23914571,Salmon Cr,22.15972137,23.45712852,21.7445507,25.01401901,24.14475441,24.33936691,22.9057312,23.96960449,24.13178062,25.7989502,23.59984398,25.33836937,22.38028145,22.85383415,23.06142044,24.41721153,23.99555397,24.65074348,24.55992508,23.71660995,24.8258934,23.84635162,24.50154305,23.31441498,22.80193901,22.83437347,25.07888794,25.25403786,26.30364037,23.81132126,23.98257828,24.84924698,24.12646103,23.51551247
Spwn,17,Coquille,4683,23914571,Salmon Cr,22.15972137,23.45712852,21.7445507,25.01401901,24.14475441,24.33936691,22.9057312,23.96960449,24.13178062,25.7989502,23.59984398,25.33836937,22.38028145,22.85383415,23.06142044,24.41721153,23.99555397,24.65074348,24.55992508,23.71660995,24.8258934,23.84635162,24.50154305,23.31441498,22.80193901,22.83437347,25.07888794,25.25403786,26.30364037,23.81132126,23.98257828,24.84924698,24.12646103,23.51551247
