TARGET_FID,ORIG_SEQ,len_km,StartXUTM,EndXUTM,StartYUTM,EndYUTM,MidXUTM,MidYUTM,POPULATION,SPAWNMILES,NTOSORDER,STRATA,ACRES,HECTARES,TYPE,Shape_Leng,Shape_Length
77,77,0.071775453,478518.3092,478576.2315,4734448.766,4734407.48,478549.317,4734430.831,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,71.77540129
78,79,0.122719776,479374.6224,479482.2726,4733967.82,4733916.085,479433.3866,4733950.346,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,122.7197364
79,78,0.999506364,478576.2315,479374.6224,4734407.48,4733967.82,478934.5009,4734157.192,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.506399
80,80,0.876788951,478518.3092,478093.9455,4734448.766,4735120.832,478343.1679,4734794.163,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,876.7889619
81,82,0.967386844,477673.8025,477640.5975,4735898.97,4736543.872,477558.6967,4736230.524,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,967.3868893
82,81,0.999512489,478093.9455,477673.8025,4735120.832,4735898.97,477866.9293,4735498.699,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5123838
83,83,0.032128713,472034.8006,472066.4888,4734939.424,4734942.327,472050.7279,4734939.497,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,32.12866077
84,87,0.465699777,473516.6634,473859.257,4732873.871,4732619.814,473646.0416,4732740.562,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,465.6998639
85,86,0.999506196,473086.3836,473516.6634,4733736.558,4732873.871,473357.3688,4733333.006,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5061534
86,85,0.999509904,472783.88,473086.3836,4734586.484,4733736.558,472867.2217,4734135.29,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.509893
