"","UTM_E_km","UTM_N_km","pred"
"583845",431.189,5090.943,52.9396080542929
"583846",432.189,5090.943,65.5307311144849
"583847",451.189,5090.943,325.999404239228
"583848",452.189,5090.943,324.577768104097
"583849",453.189,5090.943,323.162331518027
"583850",454.189,5090.943,321.753067445684
"583851",455.189,5090.943,320.349948969631
"583852",456.189,5090.943,318.952949289814
"583853",457.189,5090.943,311.66857431948
"583854",458.189,5090.943,293.172624257251
"583855",459.189,5090.943,275.774315076691
"583856",460.189,5090.943,258.170767596827
"583857",461.189,5090.943,241.066377013275
"583858",462.189,5090.943,222.20280423497
"583859",463.189,5090.943,201.884327959536
"583860",464.189,5090.943,238.85671402728
"583861",465.189,5090.943,217.015385364031
"583862",466.189,5090.943,199.67095090051
"583863",467.189,5090.943,200.123451290193
"583864",468.189,5090.943,200.576977150038
"583865",469.189,5090.943,201.031530803999
"583866",470.189,5090.943,181.876264263058
"583867",471.189,5090.943,182.288437791965
"583868",472.189,5090.943,182.701545401076
"583869",473.189,5090.943,183.115589207232
"583870",474.189,5090.943,182.077093514801
"583871",475.189,5090.943,97.9326774500651
"583872",476.189,5090.943,95.0962311144991
"583873",477.189,5090.943,92.3419374170927
"583874",478.189,5090.943,89.6674169523651
"583875",479.189,5090.943,87.0703592300958
"583876",480.189,5090.943,84.5485206793164
"583877",481.189,5090.943,82.099722710113
"583878",482.189,5090.943,79.7218498315652
"583879",483.189,5090.943,77.4128478241956
"583880",484.189,5090.943,75.1707219653511
"583881",485.189,5090.943,72.9935353059832
"583882",486.189,5090.943,70.8794069973374
"583883",487.189,5090.943,66.2466538761172
"583884",488.189,5090.943,58.5895105412273
"583885",489.189,5090.943,55.3957385110566
"583886",490.189,5090.943,54.3695404741996
"583887",491.189,5090.943,52.993678308182
"583888",425.189,5089.943,40.2494246674716
"583889",426.189,5089.943,39.451054534634
"583890",427.189,5089.943,40.7980250850292
"583891",428.189,5089.943,45.0754525941704
"583892",429.189,5089.943,49.801342646727
"583893",430.189,5089.943,55.0227138426441
"583894",431.189,5089.943,63.0299992888268
"583895",432.189,5089.943,78.0210146494907
"583896",433.189,5089.943,54.4384442887791
"583897",434.189,5089.943,67.3860496156348
"583898",450.189,5089.943,474.374026443669
"583899",451.189,5089.943,472.305350093986
"583900",452.189,5089.943,470.245694941927
"583901",453.189,5089.943,350.706971861184
"583902",454.189,5089.943,349.177589606011
"583903",455.189,5089.943,347.654876765107
"583904",456.189,5089.943,340.91633274249
"583905",457.189,5089.943,320.684676472455
"583906",458.189,5089.943,301.653666449364
"583907",459.189,5089.943,283.752050404442
"583908",460.189,5089.943,265.573274965436
"583909",461.189,5089.943,247.978451717842
"583910",462.189,5089.943,231.549324849729
"583911",463.189,5089.943,211.687771396946
"583912",464.189,5089.943,192.330801642505
"583913",465.189,5089.943,227.553588487408
"583914",466.189,5089.943,206.745830435075
"583915",467.189,5089.943,187.840757363639
"583916",468.189,5089.943,55.2863620673592
"583917",469.189,5089.943,153.840790608376
"583918",470.189,5089.943,154.189429293098
"583919",471.189,5089.943,154.538858073426
"583920",472.189,5089.943,154.889078739897
"583921",473.189,5089.943,155.240093087108
"583922",474.189,5089.943,155.591902913722
"583923",475.189,5089.943,152.11980679684
"583924",476.189,5089.943,81.8197373717968
"583925",477.189,5089.943,79.4499737720674
"583926",478.189,5089.943,77.1488461726357
"583927",479.189,5089.943,74.9143666534671
"583928",480.189,5089.943,72.7446048711058
