"","x"
"1166",42821
"1167",3055
"1168",36943
"1169",3065
"1170",37159
"1171",3069
"1172",3067
"1173",42578
"1174",3071
"1175",3073
"1176",3078
"1177",35060
"1178",43297
"1179",40324
"1180",40061
"1181",3086
"1182",42256
"1183",35651
"1184",3087
"1185",41006
"1186",3090
"1187",3092
"1188",40496
"1189",3093
"1190",41787
"1191",3099
"1192",36295
"1193",3102
"1194",3104
"1195",205036
"1196",39969
"1197",36505
"1198",42789
"1199",36062
"1200",42572
"1201",41324
"1202",35223
"1203",37348
"1204",36968
"1205",205052
"1206",36292
"1207",43291
"1208",3116
"1209",3117
"1210",3118
"1211",40758
"1212",42806
"1213",37139
"1214",40733
"1215",36087
"1216",41103
"1217",3133
"1218",205024
"1219",35213
"1220",3137
"1221",3140
"1222",36119
"1223",3145
"1224",41796
"1225",3147
"1226",3151
"1227",3152
"1228",3154
"1229",3157
"1230",36070
"1231",3164
"1232",36504
"1233",3184
"1234",3189
"1235",41240
"1236",3190
"1237",40572
"1238",42597
"1239",3196
"1240",3194
"1241",3203
"1242",40742
"1243",1965
"1244",1973
"1245",1971
"1246",1976
"1247",1981
"1248",1980
"1249",1984
"1250",1986
"1251",40489
"1252",42260
"1253",1990
"1254",1993
"1255",43276
"1256",1998
"1257",2001
"1258",2007
"1259",2008
"1260",40986
"1261",205026
"1262",2014
"1263",2020
"1264",2016
"1265",2025
"1266",2029
"1267",2028
"1268",2031
"1269",42050
"1270",42762
"1271",205019
"1272",2046
"1273",2049
"1274",2050
"1275",2061
"1276",2064
"1277",2066
"1278",40998
"1279",2068
"1280",2071
"1281",42548
"1282",39730
"1283",2088
"1284",2087
"1285",42521
"1286",2089
"1287",2091
"1288",2095
"1289",42769
"1290",2103
"1291",2108
"1292",2113
"1293",35003
"1294",NA
"1295",2120
"1296",42026
"1297",2127
"1298",2130
"1299",2140
"1300",2144
"1301",2143
"1302",2148
"1303",2155
"1304",2154
"1305",2161
"1306",2159
"1307",2163
"1308",2166
"1309",2167
"1310",2172
"1311",40484
"1312",2171
"1313",40979
"1314",2177
"1315",2176
"1316",2178
"1317",2182
"1318",2181
"1319",2184
"1320",2187
"1321",2186
"1322",2193
"1323",2194
"1324",2195
"1325",35857
"1326",2206
"1327",2207
"1328",40254
"1329",39745
"1330",42550
"1331",2208
"1332",2215
"1333",2220
"1334",2218
"1335",2226
"1336",2222
"1337",42272
"1338",2230
"1339",2231
"1340",2228
"1341",42518
"1342",35863
"1343",2236
"1344",2237
"1345",2241
"1346",2246
"1347",2245
"1348",2249
"1349",2248
"1350",2252
"1351",2255
"1352",2258
"1353",2259
"1354",2260
"1355",2265
"1356",2264
"1357",41779
"1358",2268
"1359",2266
"1360",2271
"1361",2275
"1362",2278
"1363",2284
"1364",2285
"1365",2290
"1366",2287
"1367",2295
"1368",2303
"1369",42268
"1370",36923
"1371",40255
"1372",39736
"1373",41012
"1374",2320
"1375",205016
"1376",35860
"1377",35211
"1378",42517
"1379",2337
"1380",36921
"1381",40227
"1382",42257
"1383",2344
"1384",2351
"1385",35002
"1386",2359
"1387",2361
"1388",2364
"1389",1907
"1390",2368
"1391",2371
"1392",2379
"1393",2380
"1394",2394
"1395",2399
"1396",2407
"1397",41760
"1398",2412
"1399",2415
"1400",2417
"1401",2419
"1402",2420
"1403",2425
"1404",2431
"1405",2435
"1406",2432
"1407",2437
"1408",40999
"1409",2441
"1410",2442
"1411",2444
"1412",2445
"1413",40752
"1414",2449
"1415",2451
"1416",40262
"1417",2464
"1418",36920
"1419",205012
"1420",40000
"1421",2480
"1422",2482
"1423",2485
"1424",42045
"1425",2492
"1426",2496
"1427",2500
"1428",2505
"1429",2510
"1430",2508
"1431",2513
"1432",41278
"1433",2514
"1434",2515
"1435",205014
"1436",2521
"1437",42761
"1438",2525
"1439",35007
"1440",42265
"1441",2544
"1442",41235
"1443",2545
"1444",2546
"1445",2550
