"","test_years","n_years_ahead","mod","sp","st","survey_GRTS_type","survey_pop_type","rmse","AIC"
"43",2019,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",358.191299253163,34048.586487099
"44",2020,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",334.342790330915,35829.5416867138
"45",2021,2,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nestucca"", ""Necanicum"", ""Tillamook Bay"", ""NCDependent"", ""Siletz"", ""Yaquina"", ""Beaver"", ""Siuslaw"", ""MCDependent"", ""Tahkenitch"", ""Tenmile"", ""Coquille"", ""Floras"", ""Sixes"", ""Middle Umpqua"", ""North Umpqua"", ""South Umpqua"", ""Salmon"", ""Siltcoos"", ""MSDependent"")",391.490825202635,37662.2603569762
"46",2017,0,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",358.601378361289,32885.6277798768
"47",2018,0,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",327.693504036343,33533.0463638983
"48",2019,0,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",331.489317912028,34199.1728189152
"49",2020,0,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",312.516827435244,34875.5969773485
"50",2021,0,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",349.457184696691,35497.2275990401
"51",2017,1,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",364.768559060545,31239.1717911215
"52",2018,1,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",328.160804987609,31945.4116676272
"53",2019,1,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",366.480973980219,32592.9927243052
"54",2020,1,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",328.624770465437,33259.2004250157
"55",2021,1,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",411.52900390049,33935.96174033
"56",2017,2,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",369.879682482842,29553.3806203541
