"","yr","UTM_E_km","UTM_N_km","est"
"230",2019,440.76,5080.361,2.40864718112764
"231",2015,441.174,5083.396,2.1928337361719
"232",2016,441.739,5083.32,2.08184306875143
"233",2019,441.739,5083.32,2.57425319164281
"234",2008,441.467,5083.511,2.44391039465795
"235",2006,441.998,5083.826,2.79827615351684
"236",2007,441.998,5083.826,2.29111876072262
"237",2013,441.998,5083.826,2.21528415966873
"238",2009,442.363,5084.525,4.00562755850318
"239",2011,442.188,5084.779,3.3540894148131
"240",2017,442.188,5084.779,1.53526668270698
"241",2018,442.363,5084.525,1.54114511310274
"242",2005,442.562,5084.807,3.01353992383219
"243",2009,442.562,5084.807,4.00836817743535
"244",2009,443.182,5084.231,4.43708514596836
"245",2010,443.182,5084.231,4.12534749398737
"246",2011,443.182,5084.231,3.78062491158716
"247",2012,443.182,5084.231,2.6685497132292
"248",2013,443.182,5084.231,2.21753675114939
"249",1999,443.602,5084.483,2.32586737470352
"250",2000,427.604,5056.433,1.24963097609304
"251",2003,428.352,5056.815,1.98129803490726
"252",2009,427.852,5056.533,2.13920609229053
"253",2017,429.469,5056.632,1.4473360292617
"254",2017,428.522,5064.692,1.90605862760283
"255",2019,428.496,5064.561,2.13100790418112
"256",2020,428.496,5064.561,2.70202281236996
"257",2011,430.134,5065.308,1.85488724225478
"258",2011,430.803,5066.511,1.93247920269282
"259",2001,432.99,5067.576,1.7204623359264
"260",2004,431.168,5069.415,1.68779309621665
"261",2000,433.003,5070.887,1.26037917979543
"262",1998,434.77,5066.445,0.837216755656764
"263",1998,434.611,5067.758,1.01671693802253
"264",2001,434.611,5067.758,1.89139033262425
"265",2002,435.646,5068.092,2.37310121856956
"266",2002,436.665,5068.704,2.50024880796721
"267",2013,436.141,5068.362,1.39776071792044
"268",2004,436.97,5066.861,1.78151125141811
"269",2002,434.261,5068.89,2.3034774049129
"270",2016,434.328,5070.228,1.61458314199905
"271",2004,433.928,5070.433,1.76729898615295
"272",2010,433.646,5070.955,3.20643566506946
"273",2004,439.391,5075.225,2.73412059928013
"274",2007,439.785,5075.942,1.85377190853981
"275",2009,440.152,5076.093,3.7396841066278
"276",1999,440.368,5076.665,3.06214620424968
"277",2000,440.368,5076.665,2.12735025181977
"278",2002,440.368,5076.665,3.99901211710212
"279",2003,440.368,5076.665,3.18428954785335
"280",2004,440.368,5076.665,3.18811978643983
"281",2006,440.368,5076.665,3.07194229518313
"282",2010,440.748,5078.104,4.48293125775235
"283",2016,441.72,5074.656,1.60729575982606
"284",2002,443.414,5072.46,4.37322587239856
"285",1999,443.089,5071.473,3.65153319849968
"286",2013,440.26,5069.608,2.29390785434642
"287",2003,444.242,5072.179,2.82566120379253
"288",2004,444.041,5070.162,2.42743063568705
"289",2007,444.041,5070.162,2.11246965180321
"290",2010,444.041,5070.162,3.65946606479755
"291",2016,444.041,5070.162,1.62160312668717
"292",2019,444.041,5070.162,2.10609260897612
"293",2015,447.402,5070.776,1.18698733335432
"294",2002,447.405,5075.112,3.87479743650581
"295",2003,447.898,5075.059,3.30803918012218
"296",2000,446.009,5078.248,2.57818013380057
"297",2003,446.009,5078.248,3.53189950956513
"298",2013,445.797,5079.022,1.86538795789177
"299",2004,445.429,5079.596,3.41565669367806
"300",2003,444.448,5082.471,3.86197573575795
