"","UTM_E_km","UTM_N_km","pred"
"501165",461,5092,11.1439636570139
"501166",462,5092,11.31611072394
"501167",463,5092,10.7332651483499
"501168",464,5092,10.1804395127615
"501169",465,5092,9.65608761551276
"501170",466,5092,9.15874289332785
"501171",467,5092,8.75119178361042
"501172",468,5092,8.72850841614747
"501173",469,5092,8.7058838446945
"501174",470,5092,8.68331791685038
"501175",471,5092,8.66081048060901
"501176",472,5092,8.6383613843583
"501177",473,5092,8.61597047687914
"501178",474,5092,8.59363760734438
"501179",475,5092,8.66114552761668
"501180",476,5092,9.3277544714083
"501181",477,5092,10.0456692710507
"501182",478,5092,10.8188387047131
"501183",479,5092,11.6515154700446
"501184",480,5092,12.5482795754729
"501185",481,5092,13.5140635318256
"501186",482,5092,14.5541794828345
"501187",483,5092,15.6743484237523
"501188",484,5092,16.8807316687934
"501189",485,5092,18.0115676161893
"501190",486,5092,19.1168456730468
"501191",487,5092,20.2899490080258
"501192",488,5092,21.5350397125779
"501193",489,5092,21.9994442880768
"501194",490,5092,22.4107963432111
"501195",425,5091,9.93405876621202
"501196",426,5091,9.92025754159907
"501197",427,5091,9.90647549080071
"501198",428,5091,10.0044219007659
"501199",429,5091,10.1040052046115
"501200",430,5091,10.2045797535788
"501201",431,5091,10.3403297782274
"501202",432,5091,10.6406993940901
"501203",451,5091,16.782924597822
"501204",452,5091,15.7661712483267
"501205",453,5091,14.8110154688904
"501206",454,5091,13.9137255180449
"501207",455,5091,13.0707957329545
"501208",456,5091,12.278932832982
"501209",457,5091,11.9712355452792
"501210",458,5091,12.2563555151091
"501211",459,5091,12.5482662123361
"501212",460,5091,12.8471293723121
"501213",461,5091,13.1531105824536
"501214",462,5091,13.4663793739876
"501215",463,5091,12.8507443807734
"501216",464,5091,12.1888562384519
"501217",465,5091,11.5610591884411
"501218",466,5091,10.9655973410361
"501219",467,5091,10.4008052450729
"501220",468,5091,9.86510322981781
"501221",469,5091,9.35699298677518
"501222",470,5091,9.2677944897168
"501223",471,5091,9.2437720716074
"501224",472,5091,9.21981192036985
"501225",473,5091,9.19591387460645
"501226",474,5091,9.17207777333781
"501227",475,5091,9.2037317371696
"501228",476,5091,9.91210107153688
"501229",477,5091,10.674990368915
"501230",478,5091,11.4965957826698
"501231",479,5091,12.3814364249899
"501232",480,5091,13.3343792235572
"501233",481,5091,14.3606656913218
"501234",482,5091,15.4659407566249
"501235",483,5091,16.6562838122454
"501236",484,5091,17.9382421541496
"501237",485,5091,19.3188669938694
"501238",486,5091,20.7003950180262
"501239",487,5091,21.9706727011937
"501240",488,5091,22.6903570958593
"501241",489,5091,23.1146280411109
"501242",490,5091,23.5468321288082
"501243",491,5091,23.987117695173
"501244",425,5090,9.92226209740214
"501245",426,5090,9.90847726170733
"501246",427,5090,9.89471157705826
"501247",428,5090,9.96424737495562
"501248",429,5090,10.0634307844295
"501249",430,5090,10.1636014585049
"501250",431,5090,10.4230053921993
"501251",432,5090,10.7257765990115
"501252",433,5090,11.0373428126596
"501253",434,5090,11.3579595136631
"501254",450,5090,17.9586162392652
"501255",451,5090,17.484037549352
"501256",452,5090,16.4248089484374
"501257",453,5090,15.4297511791072
"501258",454,5090,14.4949766049979
"501259",455,5090,13.6168331128976
"501260",456,5090,13.8008357286615
"501261",457,5090,14.1295314469689
"501262",458,5090,14.4660557401074
"501263",459,5090,14.8105950619323
"501264",460,5090,15.1633403070867
"501265",461,5090,15.5244869167682
"501266",462,5090,15.8942349870147
"501267",463,5090,15.3859639967402
"501268",464,5090,14.5934972861842
"501269",465,5090,13.8418472243265
"501270",466,5090,13.1289115161574
"501271",467,5090,12.4526961470981
"501272",468,5090,11.811309805928
"501273",469,5090,11.2029585949642
"501274",470,5090,10.6259410126972
"501275",471,5090,10.0786431948499
"501276",472,5090,9.84040005560715
"501277",473,5090,9.8148934256574
"501278",474,5090,9.7894529097038
"501279",475,5090,9.78030880784571
"501280",476,5090,10.5330546546353
"501281",477,5090,11.3437359225851
"501282",478,5090,12.2168116373268
"501283",479,5090,13.1570840153964
"501284",480,5090,14.1697248780762
"501285",481,5090,15.2603040981891
"501286",482,5090,16.4348202363138
"501287",483,5090,17.6997335349302
"501288",484,5090,19.0620014519732
"501289",485,5090,20.5291169292432
"501290",486,5090,22.19465374976
"501291",487,5090,23.3442878473034
"501292",488,5090,23.840564221662
"501293",489,5090,24.2863420767624
"501294",490,5090,24.7404552168104
"501295",491,5090,25.2030594974062
"501296",424,5089,9.97372073020498
"501297",425,5089,9.92177607240175
"501298",426,5089,9.89671097086717
"501299",427,5089,9.88296163293261
"501300",428,5089,9.92423417706011
"501301",429,5089,10.0230192980088
"501302",430,5089,10.2097651086877
"501303",431,5089,10.5063420351028
"501304",432,5089,10.8115340346705
"501305",433,5089,11.1255913611321
"501306",434,5089,11.4487715376895
"501307",435,5089,11.7813395681711
"501308",436,5089,12.123568154332
"501309",437,5089,12.4757379194656
"501310",438,5089,12.8381376385118
