"","yr","UTM_E_km","UTM_N_km","est"
"162",2008,457.27,5022.363,6.1425049374392
"163",2009,457.27,5022.363,7.10671698219364
"164",2010,457.27,5022.363,6.89253153757546
"165",2011,457.27,5022.363,6.83420794512662
"166",2012,457.27,5022.363,6.98925583097636
"167",2013,457.27,5022.363,6.7854629198252
"168",2014,457.27,5022.363,6.57105653676803
"169",2020,457.27,5022.363,6.57960338664913
"170",2019,461.13,5044.083,5.85326770559875
"171",2020,461.13,5044.083,5.70104258195638
"172",2015,461.13,5044.083,5.81515924720035
"173",2016,461.13,5044.083,5.40150545689071
"174",2017,461.13,5044.083,5.79739350508055
"175",2018,461.13,5044.083,6.03389110932935
"176",1998,461.13,5044.083,5.03211358899427
"177",1999,461.13,5044.083,4.28456978489987
"178",2000,461.13,5044.083,6.01194331430109
"179",2001,461.13,5044.083,6.26608396519625
"180",2002,461.13,5044.083,6.18158770574307
"181",2003,461.13,5044.083,6.22556930999603
"182",2004,461.13,5044.083,6.17066271808165
"183",2005,461.13,5044.083,6.15047534722366
"184",2006,461.13,5044.083,6.8046579121942
"185",2011,461.13,5044.083,5.9541487302375
"186",2012,461.13,5044.083,5.9569581756487
"187",2013,461.13,5044.083,5.85489980052352
"188",2014,461.13,5044.083,5.53881439567362
"189",2019,459.674,5048.143,5.67684617363014
"190",2020,459.674,5048.143,5.5657791829235
"191",2015,459.674,5048.143,5.63378235267061
"192",2016,459.674,5048.143,5.21227774162189
"193",2017,459.674,5048.143,5.62297962344494
"194",2018,459.674,5048.143,5.89120699958279
"195",1998,459.674,5048.143,4.87615389812503
"196",1999,459.674,5048.143,4.11619636293043
"197",2000,459.674,5048.143,5.8380001144087
"198",2001,459.674,5048.143,6.10412263157793
"199",2002,459.674,5048.143,5.98334868007299
"200",2003,459.674,5048.143,6.06347918781833
"201",2004,459.674,5048.143,6.02538403241852
"202",2005,459.674,5048.143,6.00484243592408
"203",2006,459.674,5048.143,6.64758323770965
"204",2007,459.674,5048.143,6.46576648634985
"205",2008,459.674,5048.143,4.9773830124746
"206",2009,459.674,5048.143,6.10220487744198
"207",2010,459.674,5048.143,5.87099533344347
"208",2011,459.674,5048.143,5.80036835141059
"209",2012,459.674,5048.143,5.76224687468995
"210",2013,459.674,5048.143,5.68827785215453
"211",2014,459.674,5048.143,5.36231390834688
"212",2019,450.448,5024.509,5.08817714449985
"213",2020,450.448,5024.509,4.86907228059507
"214",2015,450.448,5024.509,5.06620184497949
"215",2017,450.448,5024.509,5.11592217262926
"216",2018,450.448,5024.509,5.16897034579543
"217",2007,450.448,5024.509,6.00868247808539
"218",2008,450.448,5024.509,4.44104668541698
"219",2009,450.448,5024.509,5.43383310173247
"220",2010,450.448,5024.509,5.24005103407081
"221",2011,450.448,5024.509,5.15769943859473
"222",2012,450.448,5024.509,5.30901249926511
"223",2013,450.448,5024.509,5.11036371732579
"224",2014,450.448,5024.509,4.90646362759152
"225",2015,451.742,5051.094,5.57002502005491
"226",2007,451.742,5051.094,6.51245551141712
"227",2008,451.742,5051.094,4.99070446626206
"228",2009,451.742,5051.094,6.10981128950383
"229",2010,451.742,5051.094,5.91491702314711
"230",2011,451.742,5051.094,5.82861740966466
"231",2012,451.742,5051.094,5.75936425041763
"232",2013,451.742,5051.094,5.69129648403271
"233",2014,451.742,5051.094,5.37039533805784
"234",2007,450.895,5033.07,5.98463614421383
"235",2008,450.895,5033.07,4.42490688371722
"236",2007,443.331,5031.455,5.96002928615929
"237",2008,443.331,5031.455,4.34340558782105
"238",2007,452.91,5045.208,5.94957259538288
"239",2007,441.979,5035.338,6.04478182291814
"240",2008,441.979,5035.338,4.42376209253135
"241",2002,437.138,4994.998,5.97834013992109
"242",2005,437.138,4994.998,5.80714004566445
"243",2006,437.138,4994.998,6.3952350857012
"244",2002,436.871,5002.265,5.57874764571761
"245",2003,436.871,5002.265,5.69069080385712
"246",2004,436.871,5002.265,5.55255247650202
"247",2005,436.871,5002.265,5.44056418042473
"248",2006,436.871,5002.265,6.02165922749445
"249",2002,440.201,5019.53,6.62773208592038
"250",2003,440.201,5019.53,6.7925661573679
"251",2004,440.201,5019.53,6.62934766789504
"252",2005,440.201,5019.53,6.51845859913062
"253",2006,440.201,5019.53,7.13253614436957
"254",2002,447.65,5010.756,6.6770724005148
"255",2003,447.65,5010.756,6.73003462501267
"256",2004,447.65,5010.756,6.53384536153409
"257",2005,447.65,5010.756,6.43791290739595
"258",2006,447.65,5010.756,7.09021229717863
"259",2002,445.765,5010.036,5.98224915356925
"260",2003,445.765,5010.036,6.04639273564043
"261",2004,445.765,5010.036,5.86536075923552
"262",2005,445.765,5010.036,5.76749816318137
"263",2006,445.765,5010.036,6.40465389586426
"264",2002,454.866,5013.579,6.8026952792649
"265",2003,454.866,5013.579,6.78041858687654
"266",2004,454.866,5013.579,6.60408505929335
"267",2005,454.866,5013.579,6.52048070088722
"268",2006,454.866,5013.579,7.18848334906723
"269",2019,434.46,4995.689,6.0844704520312
"270",2018,434.46,4995.689,5.95493175656722
"271",2020,434.46,4995.689,5.79080150855973
"272",2019,457.21,5014.457,6.71768107516818
"273",2020,457.21,5014.457,6.4346447414373
"274",2015,457.202,5014.457,6.66163943647645
"275",2016,457.202,5014.457,6.40814123719868
"276",2017,457.202,5014.457,6.75622834340433
"277",2018,457.202,5014.457,6.71795995979186
"278",2007,457.21,5014.457,7.48641017267242
"279",2008,457.21,5014.457,6.09989930013572
"280",2009,457.21,5014.457,6.98509052812014
"281",2010,457.21,5014.457,6.78906777646734
"282",2011,457.21,5014.457,6.73102311588292
